timestamp,x,y,z
1357599156336,-0.18816912,-0.1906128,0.10613918
1357599158242,-0.53552127,0.81174517,-0.013324738
1357599158595,-0.41432965,0.01282835,0.31920242
1357599158612,0.08658898,-2.1340709,-0.46367455
1357599159383,1.0122107,-3.0533943,0.907114
1357599159384,0.6289268,-0.79059935,0.8757429
1357599159385,-0.07768637,0.40073526,-0.064938545
1357599159386,-0.18413073,0.034982264,-0.19326782
1357599159521,0.06267456,-0.111300945,0.0923481
1357599160836,-0.10926827,0.0060374737,0.06681156
1357599162718,0.109724864,-0.040045664,0.019619942
1357599163248,-0.082808435,0.042531073,0.10620117
1357599163473,-0.7378193,2.3534255,0.61647224
1357599163711,-0.21129966,3.1486819,-1.6748705
1357599163789,-0.49172723,2.8124409,-3.5135832
1357599163996,-0.7203537,1.0976458,-2.6342883
1357599164217,0.5392102,-2.3487754,2.9864514
1357599164423,0.7536794,0.062361717,2.607862
1357599164631,0.3007362,1.3187761,-4.1171856
1357599164968,1.0371704,0.26992035,-4.415595
1357599165092,0.9503403,-0.28730202,0.2223151
1357599165269,0.092185974,-0.9760561,-2.7899866
1357599165480,-0.08915031,-1.3794107,-2.969957
1357599165701,0.7630199,-0.9084492,-0.012299061
1357599165905,-0.10374975,-1.0032988,-0.3157177
1357599166117,-0.33310723,-1.5763056,-1.1126757
1357599166329,-0.17665231,-1.8684937,-0.47327614
1357599166551,-0.08347952,-0.74525213,-0.13343906
1357599166762,-0.26362002,-0.5832591,-0.41665936
1357599166966,-0.3022511,-0.34538454,0.7144518
1357599167177,-0.20378447,-0.9215523,0.13010788
1357599167388,1.1497242,0.15989184,-0.45720577
1357599167600,0.4098264,0.5595808,-0.12940407
1357599167812,0.23157716,-2.2166517,0.46748543
1357599168051,0.022718668,-2.046792,1.6074748
1357599168240,0.53685856,-0.6256223,0.2962656
1357599168450,-0.9896108,-0.023047924,0.66904974
1357599168661,-0.6194173,-1.5460005,0.9888692
1357599168873,-0.100970626,-0.92040634,1.3389201
1357599169085,-0.21181232,-0.71313286,1.3602083
1357599169297,-1.2543807,-0.322196,1.7376075
1357599169520,-0.41294205,0.6377888,3.0996447
1357599169725,-0.1259476,1.7476306,2.8259058
1357599169932,0.051923037,2.1325712,2.070325
1357599170144,0.10583806,1.8302245,0.8788347
1357599170356,0.045266032,2.557142,0.79486465
1357599170567,0.22108921,2.0509403,-0.33526802
1357599170779,0.07578614,0.22965705,-0.2807274
1357599171000,-0.1356799,-0.11764836,0.3563385
1357599171206,-0.2440418,0.66276145,-0.014498711
1357599171414,-1.109632,-0.032271385,-0.5141182
1357599171626,-2.3432438,-0.4067793,-1.3560042
1357599171838,-1.4772367,0.44121575,-0.6237302
1357599172049,-3.42282,-0.89442515,-2.0232043
1357599172280,-0.5752907,-1.8144845,-5.395401
1357599172478,2.0555048,0.72996855,-4.086839
1357599172687,1.8050356,0.36498934,-1.8357615
1357599172899,1.9409084,-0.3284768,-1.2788596
1357599173111,0.15339422,0.20165926,-0.18382359
1357599173324,0.9063432,0.31858438,0.2887497
1357599173541,1.7670977,-1.1890638,-0.8228655
1357599173746,1.3439054,-0.61388457,0.2105217
1357599173958,0.560162,0.21434188,0.18653107
1357599174169,3.8804507,-0.42522156,1.1668105
1357599174382,3.4080997,0.17380208,3.477066
1357599174593,0.4579935,0.15684253,4.4365625
1357599174812,-0.85404396,0.7190405,2.012629
1357599175019,-3.1807666,0.661736,3.588109
1357599175233,-3.6725042,-0.47333288,4.2388196
1357599175494,-4.6865773,1.8993902,-2.224926
1357599175692,2.8459284,-1.4766096,-0.2693777
1357599175868,1.6351843,-0.85851586,1.1633196
1357599176088,-0.70753896,0.3426574,0.0991354
1357599176293,-0.48604113,0.30014548,-0.44580078
1357599176504,0.4022116,-0.3221358,0.16327095
1357599176715,-0.024745002,0.020496264,0.11990547
1357599176927,-0.1101442,0.086872205,-0.12323856
1357599185418,0.49066734,0.13163562,-0.19217491
1357599186690,0.086206004,0.22695275,0.018320084
1357599189876,-0.19202812,0.22253366,0.07376099
1357599193270,-0.0041641146,0.17098296,0.067871094
1357599195808,-0.37265408,-0.2680822,0.052196503
1357599196868,0.010099694,0.033597305,-0.13507462
1357599197301,0.044316933,0.10133381,0.48280144
1357599197507,-0.062050983,-0.07251178,-0.118780136
1357599197928,0.27064216,0.040514007,-1.8409195
1357599198140,-0.010183841,0.09034668,0.70134544
1357599198353,-0.08731577,-0.024085939,0.10284233
1357599198573,0.050319836,0.0010484457,-0.12052059
1357599202384,-0.14329933,0.063739255,-0.069114685
1357599213907,0.18754698,-0.34281585,-0.381258
1357599214772,0.27663505,-0.5742619,-0.5135746
1357599214973,-0.11085211,0.15080504,0.1374054
1357599216257,0.2233109,-0.2874477,0.22186852
1357599216898,-0.7790257,1.5821865,-0.7644863
1357599217325,2.7915993,-5.267618,2.824274
1357599217540,-1.0664454,1.8240443,-1.0757542
1357599217753,-0.080909565,0.16208138,-0.022499084
1357599217968,0.19035251,-0.32399613,0.19710541
1357599219460,0.03372489,-0.07586853,-0.24768448
1357599221173,0.037694022,-0.013377532,-0.24226952
1357599222029,0.1606047,-0.11158508,-0.45118904
1357599222241,-0.04145235,-0.0038022846,0.12343502
1357599224590,0.38130492,0.006998852,-0.2383213
1357599225870,0.0549196,0.0015210658,-0.15160751
1357599226510,-0.14788236,-0.0066714734,0.5044441
1357599226724,0.10024272,0.0027705282,-0.23703957
1357599228004,0.072598144,0.041926324,-0.15657806
1357599228216,-0.027649447,0.017123908,0.12070656
1357599230354,0.1885321,-0.16469721,0.35433388
1357599230568,-0.050961316,0.041392162,-0.11328697
1357599233774,-0.019311592,-0.04299867,-0.12278175
1357599242953,0.13610862,-7.4748695E-4,0.32806587
1357599244450,0.053049907,0.4652539,-0.12953758
1357599244664,0.021213397,-0.12706305,0.0070114136
1357599252347,-0.122538224,-0.26888525,0.33127213
1357599252561,0.101645485,0.053666964,-0.082359314
1357599255765,0.10506686,0.005345732,0.019003868
1357599256193,-0.12025818,-0.019618943,0.0036640167
1357599257689,-0.025052264,-0.11346345,0.004840851
1357599261112,0.18767278,0.2860433,-0.3048706
1357599261329,-0.009510785,-0.11515196,0.048636436
1357599263038,0.11129003,0.03161989,-0.04294777
1357599265174,0.32794684,0.6056701,-0.06432915
1357599265390,-0.067316815,-0.21239619,-0.09960747
1357599268380,-0.1257086,-0.048778012,-0.012731552
1357599273717,-0.08677085,-0.11219065,-0.0030260086
1357599274998,0.0896374,0.12634574,-0.023870468
1357599276714,-0.12106252,0.014060706,0.04140663
1357599276925,-0.08526945,-0.11242895,-0.016090393
1357599277138,0.053206965,-0.10187148,-0.022489548
1357599277994,3.4458935E-4,0.23656726,0.06511974
1357599279274,0.19331276,-0.27698475,0.09329414
1357599280986,-0.16292031,0.015124932,0.35071182
1357599281414,0.5113005,0.16366549,-1.0237923
1357599281842,-0.8528705,-0.69603616,1.6514397
1357599282058,0.24652474,0.30755427,-0.4030094
1357599285048,0.0016077012,-0.054924414,-0.11026955
1357599290606,0.09436863,0.11167304,0.04270935
1357599291033,-0.11945523,0.02249667,-0.02429676
1357599291461,0.116857454,-0.007721618,-0.037691116
1357599294239,0.021687016,-0.110321745,-0.44121933
1357599297012,0.24190049,-0.45367116,-0.36328888
1357599300070,-0.023966148,-0.033417925,-0.330698
1357599300236,0.018161431,0.07003108,0.111611366
1357599300660,0.008446261,-0.41972792,1.072134
1357599300873,-0.020633772,0.047491014,-0.42629147
1357599301514,0.060089037,-0.14369851,-0.060962677
1357599301728,0.028832987,0.12460664,0.046769142
1357599301939,-0.013376817,0.10810572,0.007487297
1357599306008,0.041963205,0.39779717,0.12703514
1357599306864,-0.15697311,0.33597153,0.19338036
1357599308566,0.040968165,0.008895293,0.13376236
1357599316904,0.10670702,-0.12515472,-0.0065231323
1357599317334,-0.23868056,0.30406666,-0.2443924
1357599317546,0.05967991,-0.11911597,0.117396355
1357599320965,0.005298868,-0.10710569,0.03370762
1357599321180,0.027588457,-0.118454985,-0.078305244
1357599324604,-0.024916545,-0.12644397,0.37407875
1357599325457,0.088919446,-0.21897422,0.79792595
1357599325671,-0.05511464,0.061037987,-0.17591763
1357599326311,0.18829916,-0.58735555,1.6450329
1357599326526,-0.07532228,0.13412783,-0.48301888
1357599326740,0.0021259338,0.07576959,-0.10813904
1357599326954,-0.010028526,-0.03836061,0.11424732
1357599330796,-0.149043,-0.001089409,-0.038197517
1357599337420,-0.16350819,0.023831517,0.18061066
1357599338703,0.06646715,-0.25693417,0.256382
1357599342557,-0.013319433,-0.12572178,0.017597198
1357599344695,-0.1006446,-0.0976361,0.019990921
1357599348324,0.18335347,0.54944664,0.25182915
1357599348538,-0.06308757,-0.16489594,-0.0718317
1357599350464,0.023301527,0.07369639,-0.30783844
1357599350679,-0.031234026,-0.048712417,0.1104908
1357599352602,0.19573049,0.66092587,-0.13842201
1357599352816,-0.07021551,-0.16500224,0.033610344
1357599356664,0.02403903,-0.11874794,-0.034460068
1357599357089,-0.047792703,0.18176937,0.007303238
1357599360508,-0.30532628,-0.6800836,0.05929184
1357599360831,-0.2935899,1.0869122,-2.6961312
1357599360940,0.8056181,2.5175123,0.28022432
1357599361143,0.6286268,1.1891143,-0.837965
1357599361376,-0.5394862,1.3195662,0.8564153
1357599361591,-3.1721466,1.1663885,0.65541553
1357599361977,1.5682012,0.20458269,0.5101242
1357599362028,0.93840146,-0.68791723,-0.73647976
1357599362472,-0.019429147,-0.43743706,-0.24384451
1357599362476,0.37641826,0.12076187,0.3291149
1357599362654,0.10594508,-0.030017376,0.039256573
1357599362927,-0.23854733,-0.14016914,-0.26065683
1357599363150,-0.14720017,0.018301964,0.20117283
1357599363296,-0.029600263,0.20471811,-0.10179424
1357599363490,0.014355451,-0.12027693,0.11063433
1357599363762,0.036400527,-0.31415558,0.061422825
1357599363943,0.2480254,0.21472931,-0.32392645
1357599364130,0.34911814,-0.22707987,0.52270603
1357599364338,-0.15297401,0.044703484,-0.14343834
1357599364550,-0.17269956,0.07802391,-0.189569
1357599364974,0.043987043,-0.04389286,0.2880702
1357599365402,-0.046908468,0.030117035,-0.17145681
1357599365611,-0.083352625,0.0731411,0.115691185
1357599365823,0.065212145,-0.04595661,-0.1427741
1357599366035,-0.010481983,0.083387375,0.96536636
1357599366259,0.0025526136,-0.19435596,-0.42243958
1357599366477,0.008736402,0.0660038,-0.39805698
1357599366681,-0.09321976,0.08255291,-0.18681097
1357599366887,-0.0054322183,0.028051376,0.2671485
1357599367318,0.113759086,-0.16404009,0.19181919
1357599367545,-0.056832016,0.06583309,-0.3499732
1357599367744,-0.045808375,-0.08240938,-0.13272953
1357599367955,-0.024115354,-0.035416126,0.114643574
1357599368374,-0.11298892,-0.059289455,-0.764586
1357599368601,0.11049062,-0.14616632,0.49155283
1357599368821,0.07196975,0.1382103,0.5857115
1357599369067,-0.08843213,0.11608887,-0.23554564
1357599369224,-0.008707225,-0.02507782,-0.13913012
1357599370303,0.0169622,-0.007907391,0.15036583
1357599370504,-0.02072689,-0.051261425,-0.109993935
1357599370715,0.02219671,-0.10003424,-0.043049335
1357599371566,-0.0742307,-0.06362438,-0.8487873
1357599371786,0.11821267,-0.06978226,0.6065068
1357599372001,0.019809544,-0.0011301041,0.2936349
1357599372208,-0.03738275,0.10687971,-0.1741252
1357599372641,0.038116544,-0.067322254,0.1000514
1357599373484,-1.924932E-4,-0.07294321,-0.19979858
1357599373701,0.05375108,-0.111991405,-0.02858305
1357599373910,0.05188799,0.021000862,0.19543457
1357599374545,-0.06818819,-0.03796959,-0.17213917
1357599374778,0.024561137,0.10214472,0.10656595
1357599375951,-0.04358998,0.15347815,-0.18894625
1357599376161,0.21790002,0.31980324,-0.08598328
1357599376301,0.11393004,-0.16545677,-0.06945324
1357599376551,0.2763893,-0.08589792,0.01884365
