timestamp,user,system
1357599154759,77,22
1357599164791,68,30
1357599174759,74,14
1357599184759,26,7
1357599194762,22,8
1357599204759,3,6
1357599214760,1,7
1357599224759,3,6
1357599234759,2,7
1357599244759,4,6
1357599254759,4,6
1357599264760,3,7
1357599274759,2,7
1357599284759,2,7
1357599294759,7,7
1357599304759,3,6
1357599314759,2,7
1357599324759,7,7
1357599334759,2,6
1357599344759,3,5
1357599354760,3,6
1357599364760,54,12
1357599374791,53,23
